population_generation,individual_generation,individual,constraint_violation,rank,crowding_dist,objective_0,objective_1,constraints_0,constraints_1,real_param_0,real_param_1,real_param_2,real_param_3,real_param_4,real_param_5,real_param_6,real_param_7,real_param_8,real_param_9,real_param_10,real_param_11
0,0,0,0,5,inf,17.93558524045278,0.4038179263516409,0,0,3,0.1,0.18,0.075,0.45,0.4188790204786391,0.03,-0.01,0.03,0.1,0.5,0.2
0,0,1,0,1,inf,14.36791541733664,0.1869525501010751,0,0,2.41761036415521,0.1909816149635621,0.1273740581085,0.09819477273702004,0.3662347706532549,-0.08754084849531191,-0.01934131585407407,-0.01266864425121439,0.03835752455371116,0.102826949219196,1.326103915593783,0.1285129831696631
0,0,2,-39264,35,inf,55.46058074647281,1.365956952578983,-39264,0,1.908371538487989,0.1325837393655113,0.2032440322944415,0.07537335111938985,0.4263768212541917,-0.191554263090099,0.008230875745548517,-0.01207858883082022,0.0364330517868655,0.07335360537142513,0.6244693500814481,0.4283617517094264
0,0,3,-39496,44,inf,39.58602757886087,1.601396764003211,-39496,0,3.121936964600784,0.1418138961413157,0.1407317768840134,0.05855358517101789,0.3710835298903932,-0.002473030688883882,0.03366218891500071,-0.003658346225890726,0.03187209054882408,0.1595151210284838,1.589079494648374,0.4169516333054039
0,0,4,-38016,20,inf,55.56897960972902,1.610597023136822,-38016,0,1.782306218051501,0.08840517355622651,0.1635797724249563,0.1514765760394302,0.4080174493429257,-0.1120152914163102,0.03114561399924717,-0.01271871689497126,0.01678023482473066,0.008897279329913471,1.930807721811238,0.2862329835294018
0,0,5,0,4,2,16.57679325955033,0.2272155185274136,0,0,0.8578443794430309,0.1410592133741251,0.1232365583575071,0.1223744048755627,0.442021842496262,0.2177254361656117,0.01515791011853715,0.003702422808131711,0.01125614230523071,0.02197157795624415,1.392746075251621,0.06558260366908356
0,0,6,-39200,32,inf,46.86675633688583,1.50840007832024,-39200,0,3.039889715164032,0.1080709363140911,0.1573583214150539,0.1348780158188024,0.3512272258231638,-0.2455512876995438,-0.01422059020215807,-0.007276417996118723,0.04057001220428373,0.08539577675401916,0.5317032120282228,0.1575715115948021
0,0,7,-39296,36,inf,55.49329356256104,1.555474147221157,-39296,0,3.499638817731311,0.08382128648586737,0.1377613537306854,0.1055268148041824,0.4304679788052253,0.4974676496287215,-0.008130151899934143,0.008000193885080185,0.0300791098378818,0.09884764013387706,1.465122924332919,0.4727203818713976
0,0,8,0,1,1.606570651671798,13.26821054327349,0.2237641529997207,0,0,4.233190866281966,0.1858398780298424,0.1222239409797399,0.1145171070217724,0.3582335874059687,0.4647319377110149,0.0492682583912631,0.01786915760805085,0.02196367686136806,0.1490580521820353,1.69775512217838,0.1432644858754123
0,0,9,-33624,10,inf,39.42650983384222,2.084347626542741,-33624,0,3.783745971239759,0.05578049775225612,0.1929157861606722,0.124785100948473,0.4210715549856131,-0.1942773854387404,0.004568792359190221,0.005659718620981677,0.04691615865794804,0.09923706137567595,0.9353496287801704,0.237206899492887
0,0,10,-39560,45,inf,55.46618622336933,1.728416166669791,-39560,0,4.128263153875492,0.08785799821971825,0.1618434919188529,0.09060458854890818,0.4598690243362256,0.1506985619868679,-0.03811405695353286,0.01709190790309488,0.04878788357225299,0.0963568576246468,1.97206930155113,0.3662461026092039
0,0,11,-38408,21,inf,55.43118813022189,1.189337054257917,-38408,0,4.985543099602436,0.08862709835675545,0.1723972674281412,0.1453752667327279,0.4244952473918892,0.2126354325327502,0.04669014919357274,0.01321213642545483,0.0322848570886983,0.1434303661357032,1.470307840618272,0.04333201007117
0,0,12,-39152,31,inf,54.45447500251542,1.24283748211612,-39152,0,0.8432378252373072,0.05608491784765848,0.1854794525622135,0.09721925236082454,0.3588863486906709,-0.06346683655635763,0.04605601387379051,0.007489643839702236,0.03079852615051785,0.1673871934367304,0.8120060862039202,0.409805742056277
0,0,13,-39640,47,inf,52.97350702710575,1.745928588995567,-39640,0,1.344448884731396,0.1733834259234387,0.1816754890004972,0.09706612697252742,0.4219832474273102,0.4666813803245008,-0.03243129926928527,-0.01374132343407895,0.03848881523809614,0.05647279423158396,1.030654217571765,0.473520732700719
0,0,14,-37936,19,inf,55.514787662804,1.830176597665443,-37936,0,3.269056965565071,0.1660867350900898,0.2011986983975702,0.09164995054628899,0.4143301323203781,0.3157948794347334,0.0250985769022285,-0.01263692978932146,0.01099978359077298,0.1957254049890325,0.7376248542360615,0.2711835335571136
0,0,15,-36080,13,inf,39.64831108628709,2.591352862281757,-36080,0,0.6331373260084938,0.09657485392562817,0.1407441916871067,0.08833717559792593,0.4269577585407255,0.1865895825383392,-0.0328480745595658,0.007614300224601678,0.0268039266903101,0.1242856955045858,0.6192631715246554,0.2386764453736112
0,0,16,-33584,9,inf,51.5887554650075,6.225720301527932,-33584,0,0.6047580525766637,0.09674750183106727,0.2218568451357766,0.1040651954999551,0.395439872071455,-0.2337229611596349,-0.004912105737936885,-0.0005533058632190974,0.03524679735100363,0.1839710926327369,0.8162309149321915,0.2237672177343369
0,0,17,-35704,12,inf,55.53393709642489,2.280881741261124,-35704,0,2.080613097373485,0.06968159013052518,0.1582843492644387,0.1141569661777199,0.4802823633352741,-0.2357919022260868,0.0282396996054614,-0.0004927629703841661,0.02083976943511488,0.1185474622410577,0.1225523435673884,0.2668379469556516
0,0,18,-39320,37,inf,55.45825969333036,1.866284254496838,-39320,0,1.124734399304734,0.1538252179558233,0.2350528407687335,0.06204626835924971,0.4184444468241784,0.1162327466303264,0.01487285582053936,-0.009834008053286825,0.02474676872853508,0.04429846159270724,1.573166001273501,0.3910002046694296
